"PERIODO","AÑO","MES","TIPO DE SERVICIO","CANTIDAD"
"2020 - 2023","2,020","Enero a Diciembre","Despachos comisorios Recibidos","4"
"2020 - 2023","2,020","Enero a Diciembre","Despacho comisorios realizado","4"
"2020 - 2023","2,020","Enero a Diciembre","Querellas recibidas","14"
"2020 - 2023","2,020","Enero a Diciembre","Querellas  realizadas","5"
"2020 - 2023","2,020","Enero a Diciembre","Actas de amonestación","54"
"2020 - 2023","2,020","Enero a Diciembre","Actas de compromiso","20"
"2020 - 2023","2,020","Enero a Diciembre","Audiencias de conciliación","55"
"2020 - 2023","2,020","Enero a Diciembre","Notificación personal","17"
"2020 - 2023","2,020","Enero a Diciembre","Derecho de petición","8"
"2020 - 2023","2,020","Enero a Diciembre","Visitas oculares","10"
"2020 - 2023","2,020","Enero a Diciembre","Constancia perdida de documento","151"
"2020 - 2023","2,020","Enero a Diciembre","Remisión, denuncia fiscales","35"
"2020 - 2023","2,020","Enero a Diciembre","Dictamen médicos legales","3"
"2020 - 2023","2,020","Enero a Diciembre","Medidas de protección","146"
"2020 - 2023","2,020","Enero a Diciembre","Autos y resoluciones comparendos","242"
"2020 - 2023","2,020","Enero a Diciembre","Audiencia por comparendos","50"
"2020 - 2023","2,020","Enero a Diciembre","Violencia de género","9"
"2020 - 2023","2,020","Enero a Diciembre","Citaciones","18"
"2020 - 2023","2,020","Enero a Diciembre","Denuncias","12"
"2020 - 2023","2,021","Enero a Diciembre","Despachos comisorios Recibidos","7"
"2020 - 2023","2,021","Enero a Diciembre","Despacho comisorios realizado","7"
"2020 - 2023","2,021","Enero a Diciembre","Querellas recibidas","8"
"2020 - 2023","2,021","Enero a Diciembre","Querellas  realizadas","7"
"2020 - 2023","2,021","Enero a Diciembre","Querellas  pendientes","1"
"2020 - 2023","2,021","Enero a Diciembre","Actas de amonestación","35"
"2020 - 2023","2,021","Enero a Diciembre","Actas de compromiso","14"
"2020 - 2023","2,021","Enero a Diciembre","Audiencias de conciliación","2"
"2020 - 2023","2,021","Enero a Diciembre","Notificación personal","17"
"2020 - 2023","2,021","Enero a Diciembre","Derecho de petición","2"
"2020 - 2023","2,021","Enero a Diciembre","Visitas oculares","5"
"2020 - 2023","2,021","Enero a Diciembre","Constancia perdida de documento","28"
"2020 - 2023","2,021","Enero a Diciembre","Remisión, denuncia fiscales","9"
"2020 - 2023","2,021","Enero a Diciembre","Dictamen médicos legales","20"
"2020 - 2023","2,021","Enero a Diciembre","Medidas de protección","18"
"2020 - 2023","2,021","Enero a Diciembre","Autos y resoluciones comparendos","80"
"2020 - 2023","2,021","Enero a Diciembre","Audiencia por comparendos","24"
"2020 - 2023","2,021","Enero a Diciembre","Conduces","2"
"2020 - 2023","2,021","Enero a Diciembre","Citaciones","80"
"2020 - 2023","2,021","Enero a Diciembre","Denuncias","6"
"2020 - 2023","2,022","Enero a Diciembre","Despachos comisorios Recibidos","6"
"2020 - 2023","2,022","Enero a Diciembre","Despacho comisorios realizado","6"
"2020 - 2023","2,022","Enero a Diciembre","Querellas recibidas","8"
"2020 - 2023","2,022","Enero a Diciembre","Querellas  realizadas","8"
"2020 - 2023","2,022","Enero a Diciembre","Actas de amonestación","60"
"2020 - 2023","2,022","Enero a Diciembre","Actas de compromiso","25"
"2020 - 2023","2,022","Enero a Diciembre","Notificación personal","30"
"2020 - 2023","2,022","Enero a Diciembre","Derecho de petición","8"
"2020 - 2023","2,022","Enero a Diciembre","Visitas oculares","13"
